x,rho(x),R(x),V(rho)
-7.937937937937937782e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.917917917917917769e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.897897897897897757e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.877877877877877744e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.857857857857857731e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.837837837837837718e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.817817817817817705e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.797797797797797692e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.777777777777777679e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.757757757757757666e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.737737737737737653e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.717717717717717640e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.697697697697697627e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.677677677677677615e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.657657657657657602e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.637637637637637589e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.617617617617617576e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.597597597597597563e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.577577577577577550e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.557557557557557537e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.537537537537537524e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.517517517517517511e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.497497497497497498e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.477477477477477485e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.457457457457457473e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
